id	name	lat	lon	capital	code	pop
2881276	Langen	53.6055	8.5951	0	PPL	18
2945545	Brake (Unterweser)	53.3333	8.4833	0	PPLA3	16
2875645	Loxstedt	53.4667	8.6500	0	PPLA4	16
2839345	Schiffdorf	53.5333	8.6500	0	PPLA4	14
2919692	Gnarrenburg	53.3833	9.0000	0	PPLA4	9
2949482	Beverstedt	53.4341	8.8192	0	PPL	4
2935494	Dorum	53.6879	8.5673	0	PPLA4	3
2912496	Hagen im Bremischen	53.3571	8.6434	0	PPLA4	3
2881659	Lamstedt	53.6333	9.1000	0	PPLA4	3
2816578	Vollersode	53.3333	8.9167	0	PPLA4	3
2808048	Wingst	53.7357	9.0805	0	PPLL	3
2946801	Bokel	53.3933	8.7680	0	PPL	2
2875102	Lunestedt	53.4362	8.7519	0	PPL	2
2814241	Wanna	53.7416	8.8083	0	PPLA4	2
2806011	Wremen	53.6500	8.5167	0	PPLA4	2
2953840	Axstedt	53.3547	8.7749	0	PPLA4	1
2952304	Basdahl	53.4450	9.0002	0	PPLA4	1
2951428	Bei der Höhne	53.5135	9.1119	0	PPLX	1
2945469	Bramstedt	53.3660	8.6900	0	PPLA4	1
2935334	Drangstedt	53.6136	8.7558	0	PPLA4	1
2933916	Ebersdorf	53.5251	9.0490	0	PPLA4	1
2903841	Hipstedt	53.4833	8.9667	0	PPLA4	1
2896648	Ihlienworth	53.7333	8.9167	0	PPLA4	1
2882681	Kührstedt	53.5775	8.8009	0	PPLA4	1
2876963	Lintig	53.6034	8.8788	0	PPLA4	1
2871244	Midlum	53.7313	8.6169	0	PPLA4	1
2857105	Oerel	53.4833	9.0500	0	PPLA4	1
2841731	Sandstedt	53.3598	8.5214	0	PPLA4	1
