id	name	lat	lon	capital	code	pop
1957671	Katipunan	7.5825	122.8306	0	PPL	10
1703101	Malangas	7.6303	123.0317	0	PPLA3	8
1697155	Olutanga	7.3106	122.8464	0	PPLA3	7
1957566	Tigpalay	7.4948	122.3450	0	PPL	5
1710950	Imelda	7.6470	122.9535	0	PPL	5
1683701	Talusan	7.4267	122.8103	0	PPLA3	5
1694210	Payao	7.5867	122.8028	0	PPLA3	4
1731488	Alicia	7.5139	122.9300	0	PPLA3	3
1706374	Limaong	7.3606	122.3664	0	PPL	3
1680677	Tungawan	7.5081	122.3711	0	PPLA3	3
1958281	La Dicha	7.6760	123.0023	0	PPL	2
1957505	Laparay	7.4036	122.8172	0	PPL	2
1715334	Dawa-Dawa	7.4683	122.8369	0	PPL	2
1713239	Ganyangan	7.6789	122.9094	0	PPL	2
1709024	Kawayan	7.5383	122.8725	0	PPL	2
1704503	Mabuhay	7.4178	122.8367	0	PPLA3	2
1686862	Siay	7.6961	122.8631	0	PPL	2
