id	name	lat	lon	capital	code	pop
1908004	Wenquan	34.6519	105.0535	0	PPLA4	18
1907976	Jutou	34.8208	105.0339	0	PPL	16
10429089	Xiping	34.6057	105.1150	0	PPLA4	15
1908005	Wujiahe	34.6717	105.2439	0	PPLA4	14
12359274	Yanghe	34.5183	105.0077	0	PPLA4	13
7517082	Yan’anxiang	34.4600	104.9167	0	PPLA4	13
7517227	Longtai	34.5988	104.8963	0	PPL	11
1907968	Gucheng	34.4811	105.1653	0	PPL	11
1808135	Honghe	34.4097	105.3900	0	PPL	11
1800965	Mawu	34.4264	104.9147	0	PPL	11
12358683	Qiushan	34.3552	104.8976	0	PPLA4	10
1907984	Mahe	34.3361	105.3972	0	PPL	10
1787804	Yacheng	34.3228	105.1353	0	PPL	10
1907982	Luoba	34.3228	105.0647	0	PPL	9
1907971	Gupo	34.6250	105.2786	0	PPLA4	8
