id	name	lat	lon	capital	code	pop
1856035	Naha	26.2130	127.6785	0	PPLA	317
1894616	Okinawa	26.3358	127.8014	0	PPLA2	125
1863627	Ginowan	26.2627	127.7615	0	PPLA2	91
1863495	Gushikawa	26.3594	127.8674	0	PPL	65
1856068	Nago	26.6150	127.9854	0	PPLA2	59
1861280	Itoman	26.1265	127.6692	0	PPLA2	57
1850108	Tomigusuku	26.1858	127.6819	0	PPLA2	55
6822158	Miyakojima	24.7902	125.3111	0	PPLA2	54
1861416	Ishigaki	24.3448	124.1572	0	PPLA2	44
10860988	Yomitan	26.4017	127.7450	0	PPL	40
1863426	Katsuren-haebaru	26.3329	127.8740	0	PPL	34
1862505	Hirara	24.8038	125.3022	0	PPL	34
1864652	Chatan	26.3095	127.7702	0	PPLA3	27
1861393	Ishikawa	26.4233	127.8214	0	PPL	22
1848281	Yonabaru	26.2044	127.7527	0	PPL	18
