id	name	lat	lon	capital	code	pop
1790630	Xi’an	34.2583	108.9286	0	PPLA	9600
1794903	Shiyan	32.6475	110.7781	0	PPLA2	3460
10942359	Baoji	34.3678	107.2370	0	PPLA2	1437
1801792	Luoyang	34.6836	112.4536	0	PPL	1390
1790587	Xiangyang	32.0422	112.1448	0	PPLA2	1294
1791636	Weinan	34.5035	109.5089	0	PPLA2	1199
1790353	Xianyang	34.3378	108.7026	0	PPLA3	1034
1808857	Hanzhong	33.0751	107.0221	0	PPLA2	1006
1803567	Linfen	36.0889	111.5189	0	PPL	959
1789065	Ankang	32.6800	109.0172	0	PPLA2	870
1815463	Changzhi	35.2089	111.7386	0	PPL	699
1785738	Yuncheng	35.0231	110.9928	0	PPLA2	680
1796669	Sanmenxia	34.7747	111.1814	0	PPLA2	669
1796068	Shangluo	33.8667	109.9306	0	PPLA2	531
7064006	Tongchuan	34.8988	108.9506	0	PPLA2	417
12359313	Qingyang	35.7098	107.6445	0	PPLA4	377
1812990	Dengzhou	32.6822	112.0819	0	PPLA3	285
1804386	Laohekou	32.3858	111.6678	0	PPL	253
1806988	Huayin	34.5653	110.0664	0	PPL	242
1795196	Tongchuanshi	35.0747	109.0850	0	PPL	223
12358616	Yintai	35.1152	109.0970	0	PPLA3	217
1784617	Zhenping Chengguanzhen	33.0331	112.2332	0	PPLA3	181
1815276	Chenggu	33.1492	107.3258	0	PPLA3	116
1788207	Xixiang	32.9870	107.7640	0	PPLA3	99
1813828	Danjiangkou	32.5428	111.5086	0	PPL	92
1809263	Guozhen	34.3659	107.3590	0	PPLA3	85
1786676	Yima	34.7381	111.8839	0	PPL	82
1803266	Lintong	34.3780	109.2089	0	PPLA3	75
1809610	Gucheng Chengguanzhen	32.2660	111.6348	0	PPLA3	74
1788462	Xinzhi	36.4989	111.7047	0	PPL	72
1787873	Xunyang	32.8239	109.3653	0	PPLA3	67
1808863	Hanyin Chengguanzhen	32.8914	108.5047	0	PPLA3	66
1787266	Yangzhou	33.2219	107.5427	0	PPLA3	64
1788522	Hancheng	32.5186	112.3522	0	PPLA3	61
1787144	Yanliang	34.6592	109.2292	0	PPLA3	60
1785572	Yuxia	34.0615	108.6291	0	PPLA4	60
1808981	Hancheng	35.4603	110.4292	0	PPL	58
1795026	Shiquan	33.0408	108.2364	0	PPLA3	53
1798763	Pingli	32.3847	109.3456	0	PPLA3	45
1804550	Langao Chengguanzhen	32.3003	108.8931	0	PPLA3	35
1783682	Ziyang Chengguanzhen	32.5192	108.5323	0	PPLA3	35
