id	name	lat	lon	capital	code	pop
5183234	Carlisle	40.2015	-77.1889	0	PPLA2	19
5193342	Hershey	40.2859	-76.6502	0	PPL	14
5185006	Colonial Park	40.3006	-76.8097	0	PPL	13
4562088	Weigelstown	39.9837	-76.8225	0	PPL	12
4561215	Shiloh	39.9781	-76.7972	0	PPL	11
5207214	Progress	40.2851	-76.8314	0	PPL	9
5201027	Middletown	40.1998	-76.7311	0	PPL	9
5200657	Mechanicsburg	40.2143	-77.0086	0	PPL	8
4557717	East York	39.9737	-76.6864	0	PPL	8
5203164	New Cumberland	40.2323	-76.8847	0	PPL	7
5182928	Camp Hill	40.2398	-76.9200	0	PPL	7
5199075	Lower Allen	40.2265	-76.9005	0	PPL	6
5198180	Linglestown	40.3340	-76.7891	0	PPL	6
5188793	Enola	40.2901	-76.9339	0	PPL	6
5214040	Steelton	40.2354	-76.8414	0	PPL	5
5211113	Schlusser	40.2418	-77.1769	0	PPL	5
5205267	Paxtonia	40.3173	-76.7944	0	PPL	5
5212430	Skyline View	40.3393	-76.7255	0	PPL	4
5209362	Rutherford	40.2690	-76.7680	0	PPL	4
5197725	Lemoyne	40.2412	-76.8941	0	PPL	4
5194513	Hummelstown	40.2654	-76.7083	0	PPL	4
4562174	West York	39.9526	-76.7514	0	PPL	4
4561435	Spry	39.9184	-76.6850	0	PPL	4
5220137	Wormleysburg	40.2629	-76.9139	0	PPL	3
5217005	Valley Green	40.1573	-76.7927	0	PPL	3
5197445	Lawrence Park	40.3456	-76.8008	0	PPL	3
5197435	Lawnton	40.2584	-76.8039	0	PPL	3
5181134	Boiling Springs	40.1498	-77.1283	0	PPL	3
4558315	Grantley	39.9404	-76.7291	0	PPL	3
5205343	Penbrook	40.2754	-76.8480	0	PPL	2
5202164	Mount Holly Springs	40.1184	-77.1900	0	PPL	2
5200122	Matamoras	40.4401	-76.9333	0	PPL	2
5200081	Marysville	40.3426	-76.9300	0	PPL	2
5199634	Manchester	40.0632	-76.7183	0	PPL	2
5193622	Highspire	40.2109	-76.7911	0	PPL	2
5188708	Emigsville	40.0218	-76.7280	0	PPL	2
5186962	Dillsburg	40.1109	-77.0350	0	PPL	2
4561909	Valley View	39.9501	-76.7011	0	PPL	2
4561530	Stonybrook	39.9870	-76.6441	0	PPL	2
4560048	North York	39.9781	-76.7330	0	PPL	2
4559053	Lake Meade	39.9851	-77.0372	0	PPL	2
5218702	West Fairview	40.2751	-76.9155	0	PPL	1
5212033	Shiremanstown	40.2234	-76.9536	0	PPL	1
5209232	Royalton	40.1873	-76.7300	0	PPL	1
5205249	Paxtang	40.2590	-76.8319	0	PPL	1
5203112	New Bloomfield	40.4198	-77.1864	0	PPLA2	1
5202421	Mount Wolf	40.0632	-76.7039	0	PPL	1
5188784	Enhaut	40.2318	-76.8269	0	PPL	1
5187506	Duncannon	40.3981	-77.0230	0	PPL	1
5187215	Dover	40.0018	-76.8503	0	PPL	1
5181562	Bressler	40.2295	-76.8200	0	PPL	1
5178839	Bainbridge	40.0909	-76.6675	0	PPL	1
4562441	Yorklyn	39.9923	-76.6463	0	PPL	1
4557666	East Berlin	39.9376	-76.9786	0	PPL	1
4556595	Biglerville	39.9304	-77.2480	0	PPL	1
