id	name	lat	lon	capital	code	pop
1714519	Dologon	7.8408	125.0444	0	PPL	15
1709627	Kalilangan	7.7451	124.7478	0	PPL	14
1718103	Casisang	8.1381	125.1250	0	PPL	13
1715880	Damilag	8.3547	124.8122	0	PPL	11
1708618	Kisolon	8.3300	124.9769	0	PPL	8
1705166	Lumbia	8.3958	124.5939	0	PPL	7
1704960	Lurugan	8.0167	124.9667	0	PPL	7
1685286	Sumpong	8.1633	125.1183	0	PPL	7
1684086	Talakag	8.2336	124.6003	0	PPL	7
1716230	Dagumba-an	8.1531	124.5908	0	PPL	6
1708872	Kibangay	8.0497	124.8931	0	PPL	6
1689562	San Jose	7.7367	125.0703	0	PPL	6
1732050	Aglayan	8.0550	125.1342	0	PPL	5
1707438	Lantapan	7.9978	125.0278	0	PPL	5
1706607	Libona	8.3389	124.7353	0	PPLA3	5
1706303	Linabo	8.0542	125.1550	0	PPL	5
1703544	Mailag	7.9703	125.1375	0	PPL	5
1689020	San Miguel	8.0300	124.7539	0	PPL	5
1685302	Sumilao	8.2872	124.9456	0	PPLA3	5
1731661	Alanib	8.0278	124.9861	0	PPL	4
1726957	Bantuanon	8.0153	125.0708	0	PPL	4
1723294	Bugcaon	8.0458	125.1128	0	PPL	4
1719386	Canayan	8.1956	125.1447	0	PPL	4
1715912	Dalwangan	8.2006	125.0406	0	PPL	4
1706173	Lingion	8.1881	124.6097	0	PPL	4
1689800	San Isidro	8.2583	124.5931	0	PPL	4
1682182	Tignapalan	8.2639	124.5747	0	PPL	4
1732223	Adtugan	7.8119	124.8544	0	PPL	3
1716780	Cosina	8.1061	124.6197	0	PPL	3
1715958	Dalirig	8.3772	124.9014	0	PPL	3
1715659	Dorsalanam	8.3067	124.5856	0	PPL	3
1710753	Indulang	8.0903	124.5844	0	PPL	3
1708761	Kimanuit	7.7604	124.7250	0	PPL	3
1706199	Lingating	8.3317	124.6289	0	PPL	3
1702457	Maluko	8.3750	124.9539	0	PPL	3
1692460	Pongol	8.2786	124.7483	0	PPL	3
1690220	San Carlos	7.9597	125.0775	0	PPL	3
1689177	Sankanan	8.3156	124.8581	0	PPL	3
1688175	Santa Fe	8.3425	124.7808	0	PPL	3
1682122	Ticala-an	8.0353	124.6208	0	PPL	3
1728145	Balila	8.0028	125.0131	0	PPL	2
1727358	Bangahan	7.7963	124.7336	0	PPL	2
1726493	Basak	8.0411	124.8628	0	PPL	2
1721887	Cabangahan	8.0228	125.1375	0	PPL	2
1714186	Dumalaguing	8.3469	125.0550	0	PPL	2
1710936	Impalutao	8.2578	125.0275	0	PPL	2
1709577	Kalugmanan	8.2778	124.8597	0	PPL	2
1708176	La Fortuna	8.2797	125.0014	0	PPL	2
1708038	Laguitas	8.0892	125.1306	0	PPL	2
1707211	La Roxas	7.8642	124.8869	0	PPL	2
1706599	Liboran	8.3547	124.6489	0	PPL	2
1692398	Pontian	8.2811	124.9003	0	PPL	2
1690891	Salimbalan	8.2742	124.7219	0	PPL	2
1684361	Taypano	8.3708	124.5594	0	PPL	2
