id	name	lat	lon	capital	code	pop
1695834	Pamplona	9.4724	123.1192	0	PPL	11
1686066	Siquijor	9.2142	123.5150	0	PPLA3	10
1698446	Nalundan	9.7500	123.0667	0	PPL	9
1716107	Dalaguete	9.7612	123.5349	0	PPLA3	8
1704127	Madridejos	9.7912	123.3462	0	PPLA2	6
1695262	Panglao	9.5781	123.7458	0	PPLA3	6
1679423	Zamboanguita	9.1025	123.1996	0	PPLA3	6
1729550	Bacong	9.2464	123.2956	0	PPLA3	5
1697489	Novallas	9.5117	123.1225	0	PPL	5
1697361	Obong	9.7410	123.5098	0	PPL	5
1729830	Azagra	9.4779	123.1367	0	PPL	4
1704729	Maayong Tubig	9.1672	123.2469	0	PPL	4
1693104	Polo	9.4816	123.1802	0	PPL	4
1688313	Santa Cruz	9.5352	123.1054	0	PPL	4
1731586	Alcoy	9.7102	123.5067	0	PPLA3	3
1725029	Payabon	9.7590	123.1412	0	PPL	3
1724297	Boljoon	9.6281	123.4785	0	PPLA3	3
1715369	Dauin	9.1914	123.2654	0	PPLA3	3
1710062	Jugno	9.4683	123.2038	0	PPL	3
1706923	Lazi	9.1287	123.6356	0	PPLA3	3
1697245	Okiot	9.5667	123.1667	0	PPL	3
1696989	Oslob	9.5211	123.4315	0	PPLA3	3
1690623	Samboan	9.5276	123.3069	0	PPLA3	3
1686572	Silab	9.4383	123.1792	0	PPL	3
1684052	Talangnan	9.6340	123.3344	0	PPL	3
1683293	Tandayag	9.4547	123.2299	0	PPL	3
1680111	Valencia	9.7716	123.3674	0	PPL	3
1731665	Alangilanan	9.6420	123.1059	0	PPL	2
1731571	Alegria	9.7289	123.3398	0	PPLA3	2
1728318	Balayong	9.4744	123.0623	0	PPL	2
1727179	Banilad	9.2786	123.2936	0	PPL	2
1725649	Becerril	9.6531	123.4344	0	PPL	2
1724303	Bolisong	9.6911	123.1517	0	PPL	2
1722837	Bulod	9.6833	123.1500	0	PPL	2
1719557	Campoyo	9.6564	123.1479	0	PPL	2
1719327	Kandabong	9.6859	123.0728	0	PPL	2
1718220	Casala-an	9.1167	123.0500	0	PPL	2
1715407	Datagon	9.4461	123.0891	0	PPL	2
1714232	Doljo	9.5875	123.7303	0	PPL	2
1713913	El Pardo	9.6600	123.4944	0	PPL	2
1712899	Ginatilan	9.5694	123.3128	0	PPLA3	2
1712645	Guadalupe	9.7236	123.4018	0	PPL	2
1710276	Jantianon	9.4442	123.1657	0	PPL	2
1706834	Lepanto	9.6845	123.4026	0	PPL	2
1703519	Mainit	9.4335	123.3595	0	PPL	2
1703298	Malabuyoc	9.6525	123.3252	0	PPLA3	2
1702892	Malbug	9.7327	123.3402	0	PPL	2
1702486	Malway	9.1319	123.2203	0	PPL	2
1701431	Mantiquil	9.1667	123.0500	0	PPL	2
1699293	Montaneza	9.6846	123.3289	0	PPL	2
1697447	Nugas	9.6968	123.4415	0	PPL	2
1689016	San Miguel	9.2239	123.2853	0	PPL	2
1688154	Santa Filomena	9.7518	123.3446	0	PPL	2
1687965	Santander Poblacion	9.4253	123.3388	0	PPLA3	2
1683467	Tamiso	9.6314	123.0873	0	PPL	2
1682914	Tapon	9.7715	123.5268	0	PPL	2
1681907	Tinaogan	9.7791	123.1503	0	PPL	2
