id	name	lat	lon	capital	code	pop
3033416	Berck-Plage	50.4070	1.5645	0	PPL	15
3033415	Berck	50.4000	1.6000	0	PPL	15
2988936	Outreau	50.7054	1.5897	0	PPL	15
2978439	Saint-Martin-Boulogne	50.7269	1.6186	0	PPL	12
3019441	Étaples	50.5219	1.6332	0	PPL	11
3002551	Le Portel	50.7056	1.5757	0	PPL	11
3022167	Cucq	50.4773	1.6202	0	PPL	5
3021524	Desvres	50.6688	1.8348	0	PPL	5
2999139	Le Touquet-Paris-Plage	50.5243	1.5857	0	PPL	5
2980283	Saint-Étienne-au-Mont	50.6779	1.6308	0	PPL	5
2978783	Saint-Léonard	50.6906	1.6254	0	PPL	4
2990678	Neufchâtel-Hardelot	50.6202	1.6422	0	PPL	3
2984438	Rang-du-Fliers	50.4171	1.6443	0	PPL	3
2976291	Samer	50.6384	1.7463	0	PPL	3
3034101	Beaurainville	50.4243	1.8994	0	PPL	2
3029012	Camiers	50.5715	1.6132	0	PPL	2
3023946	Condette	50.6582	1.6339	0	PPL	2
3019957	Équihen-Plage	50.6756	1.5722	0	PPL	2
3013365	Hesdin	50.3735	2.0382	0	PPL	2
2994349	Merlimont	50.4559	1.6132	0	PPL	2
2992061	Montreuil	50.4637	1.7635	0	PPLA3	2
2969613	Verton	50.4023	1.6477	0	PPL	2
3036271	Auchy-lès-Hesdin	50.4011	2.1014	0	PPL	1
3035325	Baincthun	50.7099	1.6807	0	PPL	1
3028983	Campagne-lès-Hesdin	50.3972	1.8749	0	PPL	1
3021757	Dannes	50.5880	1.6138	0	PPL	1
3017687	Fort-Mahon-Plage	50.3396	1.5598	0	PPL	1
3014587	Groffliers	50.3844	1.6147	0	PPL	1
3012688	Isques	50.6739	1.6544	0	PPL	1
3010607	La Capelle-lès-Boulogne	50.7330	1.7015	0	PPL	1
2997713	Longfossé	50.6522	1.8069	0	PPL	1
2995926	Marconne	50.3714	2.0467	0	PPL	1
2995924	Marconnelle	50.3759	2.0111	0	PPL	1
2990733	Nesles	50.6259	1.6564	0	PPL	1
2984828	Quend	50.3158	1.6361	0	PPL	1
2979162	Saint-Josse	50.4680	1.6618	0	PPL	1
2967510	Wailly	50.5229	2.0679	0	PPL	1
