id	name	lat	lon	capital	code	pop
1809548	Gufeng	26.9083	118.9819	0	PPLA3	9
1806627	Huotong	26.8497	119.4181	0	PPL	8
1795909	Shanyang	26.6702	119.2051	0	PPLA4	6
1813668	Daqiao	26.6150	118.9064	0	PPLA4	4
1793380	Tangkou	26.9542	119.0128	0	PPL	4
1815589	Changqiao	26.8214	118.8436	0	PPL	3
1814946	Chixi	26.9111	119.4831	0	PPL	3
1808268	Hetang	26.6628	119.1106	0	PPLA4	3
1794570	Shuangxi	27.0225	119.0414	0	PPLA4	3
1789329	Xiling	26.8144	119.0472	0	PPL	3
1787230	Yangzhong	26.7056	119.3744	0	PPL	3
1810671	Gantang	26.7983	118.9361	0	PPL	2
1790620	Xiancun	26.9386	119.3603	0	PPL	2
1783856	Zhuoyang	26.6300	119.0215	0	PPLA4	2
1814217	Daixi	26.8125	119.1142	0	PPL	1
1807936	Hongyang	26.5286	119.4625	0	PPL	1
1801858	Luoqiaocun	26.4702	119.0032	0	PPL	1
1794788	Shoushan	26.9644	119.1617	0	PPL	1
1784415	Zhongfang	26.6008	119.4258	0	PPL	1
