id	name	lat	lon	capital	code	pop
2991551	Mougins	43.6007	6.9952	0	PPL	18
2971117	Valbonne	43.6329	6.9991	0	PPL	12
2991579	Mouans-Sartoux	43.6210	6.9714	0	PPL	9
2987554	Peymeinade	43.6424	6.8758	0	PPL	7
2988220	Pégomas	43.5966	6.9321	0	PPL	6
3018835	Fayence	43.6257	6.6953	0	PPL	4
3006690	La Roquette-sur-Siagne	43.5987	6.9567	0	PPL	4
2992978	Montauroux	43.6182	6.7653	0	PPL	4
3026256	Châteauneuf-Grasse	43.6667	6.9833	0	PPL	3
3002280	Le Rouret	43.6787	7.0152	0	PPL	3
2981217	Saint-Cézaire-sur-Siagne	43.6501	6.7922	0	PPL	3
3036022	Auribeau-sur-Siagne	43.6006	6.9099	0	PPL	2
3029118	Callian	43.6221	6.7527	0	PPL	2
3005358	Le Bar-sur-Loup	43.7000	6.9833	0	PPL	2
2999163	Le Tignet	43.6398	6.8462	0	PPL	2
2992606	Montferrat	43.6120	6.4809	0	PPL	2
2989486	Opio	43.6686	6.9821	0	PPL	2
2976695	Saint-Vallier-de-Thiey	43.6984	6.8478	0	PPL	2
2975265	Seillans	43.6362	6.6433	0	PPL	2
3037512	Annot	43.9653	6.6688	0	PPL	1
3034939	Bargemon	43.6190	6.5496	0	PPL	1
3029282	Cabris	43.6562	6.8736	0	PPL	1
3029125	Callas	43.5928	6.5384	0	PPL	1
3028382	Castellane	43.8471	6.5128	0	PPLA3	1
2985142	Puget-Théniers	43.9560	6.8938	0	PPL	1
2973863	Spéracèdes	43.6485	6.8589	0	PPL	1
2973418	Tanneron	43.5906	6.8754	0	PPL	1
