id	name	lat	lon	capital	code	pop
3179216	Celano	42.0808	13.5170	0	PPLA3	9
3169908	Pratola Peligna	42.0970	13.8747	0	PPLA3	7
3171247	Penne	42.4547	13.9275	0	PPLA3	5
3170175	Popoli	42.1687	13.8300	0	PPLA3	5
3171702	Paganica-Tempera	42.3571	13.4714	0	PPL	4
8948832	Manoppello Scalo	42.3076	14.0536	0	PPL	3
3174812	Lettomanoppello	42.2434	14.0384	0	PPLA3	3
3174565	Loreto Aprutino	42.4310	13.9806	0	PPLA3	3
3174261	Magliano De'Marsi	42.0915	13.3638	0	PPLA3	3
3165453	Torre de' Passeri	42.2432	13.9333	0	PPLA3	3
9036403	Nucleo Industriale di Bazzano	42.3362	13.4675	0	PPL	2
3181361	Bussi sul Tirino	42.2132	13.8251	0	PPLA3	2
3178613	Città Sant'Angelo	42.5125	14.0620	0	PPLA3	2
3175429	Isola del Gran Sasso d'Italia	42.5032	13.6572	0	PPLA3	2
3170988	Pianella	42.3992	14.0478	0	PPLA3	2
3169626	Raiano	42.1016	13.8139	0	PPLA3	2
3167012	Scafa	42.2657	13.9967	0	PPLA3	2
3165615	Tocco da Casauria	42.2120	13.9155	0	PPLA3	2
8949425	Cominio	42.3125	13.4325	0	PPL	1
8949258	Barberi	42.4407	14.0427	0	PPL	1
3182342	Barisciano	42.3246	13.5904	0	PPLA3	1
3182261	Progetto Case Bazzano	42.3364	13.4441	0	PPL	1
3180593	Caramanico Terme	42.1559	14.0048	0	PPLA3	1
3179114	Cerchio	42.0636	13.6001	0	PPLA3	1
3178415	Collecorvino	42.4602	14.0156	0	PPLA3	1
3172696	Monticchio	42.3203	13.4638	0	PPL	1
3172530	Moscufo	42.4271	14.0543	0	PPLA3	1
3171753	Pacentro	42.0504	13.9915	0	PPLA3	1
3170940	Pianola	42.3234	13.4039	0	PPL	1
3170450	Poggio Picenze	42.3206	13.5404	0	PPLA3	1
3169182	Rocca di Mezzo	42.2044	13.5184	0	PPLA3	1
3168437	San Demetrio Ne' Vestini	42.2896	13.5552	0	PPLA3	1
3167220	San Valentino in Abruzzo Citeriore	42.2330	13.9856	0	PPLA3	1
3183392	Aielli	42.0815	13.5911	0	PPLA3	0
3183367	Alanno	42.2955	13.9708	0	PPLA3	0
3182003	Bisenti	42.5288	13.7995	0	PPLA3	0
3180720	Capestrano	42.2681	13.7678	0	PPLA3	0
3179455	Castelvecchio Subequo	42.1288	13.7287	0	PPLA3	0
3179360	Catignano	42.3470	13.9519	0	PPLA3	0
3178441	Collarmele	42.0603	13.6267	0	PPLA3	0
3178412	Colledara	42.5392	13.6756	0	PPLA3	0
3178103	Corfinio	42.1215	13.8394	0	PPLA3	0
3176657	Fossa	42.2927	13.4878	0	PPLA3	0
3175988	Goriano Sicoli	42.0801	13.7746	0	PPLA3	0
3174056	Manoppello	42.2592	14.0602	0	PPLA3	0
3173765	Massa d'Albe-Corona	42.1072	13.3943	0	PPLA3	0
3171768	Ovindoli	42.1377	13.5160	0	PPLA3	0
3170881	Picciano	42.4753	13.9899	0	PPLA3	0
3169826	Prezza	42.0579	13.8359	0	PPLA3	0
3169197	Roccacasale	42.1225	13.8876	0	PPLA3	0
3168950	Rosciano	42.3223	14.0456	0	PPLA3	0
3164027	Vittorito	42.1270	13.8167	0	PPLA3	0
