id	name	lat	lon	capital	code	pop
4085336	Rainbow City	33.9548	-86.0419	0	PPL	9
4051059	Boaz	34.2007	-86.1664	0	PPL	9
4091058	Southside	33.9245	-86.0225	0	PPL	8
4081671	Oneonta	33.9481	-86.4728	0	PPLA2	6
4830768	Attalla	34.0218	-86.0886	0	PPL	5
4064310	Glencoe	33.9570	-85.9325	0	PPL	5
4091542	Springville	33.7751	-86.4719	0	PPL	4
4068226	Horton	34.2009	-86.2969	0	PPL	4
4067623	Hokes Bluff	33.9982	-85.8664	0	PPL	4
4829861	Alexandria	33.7740	-85.8855	0	PPL	3
4096645	Weaver	33.7520	-85.8114	0	PPL	3
7315156	Carlisle-Rockledge	34.1144	-86.1241	0	PPL	2
4830707	Ashville	33.8370	-86.2544	0	PPL	2
4097588	Whitesboro	34.1634	-86.0694	0	PPL	2
4831176	Ballplay	34.0587	-85.8080	0	PPL	1
4091755	Steele	33.9398	-86.2016	0	PPL	1
4088704	Sardis City	34.1743	-86.1227	0	PPL	1
4085311	Ragland	33.7445	-86.1558	0	PPL	1
4081197	Ohatchee	33.7834	-86.0025	0	PPL	1
4057731	Crossville	34.2876	-85.9941	0	PPL	1
4056381	Collinsville	34.2640	-85.8605	0	PPL	1
