id	name	lat	lon	capital	code	pop
2520052	Cartaya	37.2811	-7.1507	0	PPLA3	17
2261598	Vila Real de Santo António	37.1950	-7.4177	0	PPLA2	11
2266442	Mértola	37.6430	-7.6611	0	PPLA2	7
2269496	Castro Marim	37.2207	-7.4435	0	PPLA2	5
2265914	Monte Gordo	37.1819	-7.4523	0	PPL	4
2521839	Alosno	37.5486	-7.1147	0	PPLA3	4
6559436	Vila Nova De Cacela	37.1739	-7.5317	0	PPL	3
2516201	La Antilla	37.2071	-7.2091	0	PPL	3
2512264	Puebla de Guzmán	37.6143	-7.2488	0	PPL	3
2271823	Altura	37.1756	-7.5006	0	PPL	2
2266389	Minas de São Domingos	37.6732	-7.4977	0	PPL	2
2511441	San Bartolomé de la Torre	37.4451	-7.1060	0	PPLA3	2
2509609	Villablanca	37.3024	-7.3441	0	PPLA3	2
2266762	Manta Rota	37.1685	-7.5180	0	PPL	1
6544316	Islantilla	37.2057	-7.2374	0	PPL	1
2518147	El Rompido	37.2177	-7.1221	0	PPL	1
2511227	San Silvestre de Guzmán	37.3877	-7.3491	0	PPLA3	0
2509549	Villanueva de los Castillejos	37.4994	-7.2912	0	PPLA3	0
