id	name	lat	lon	capital	code	pop
8403883	Gaofeng	30.7128	108.3419	0	PPLA4	19
8403867	Changtan	30.7392	108.5998	0	PPLA4	17
1817310	Baitu	30.5972	108.8114	0	PPLA4	16
8404735	Linxi	30.4064	108.3502	0	PPLA4	15
8404747	Huangshui	30.2449	108.3895	0	PPLA4	13
8403871	Henghe	30.5315	108.7541	0	PPLA4	13
8403880	Rangdu	30.5929	108.3056	0	PPLA4	11
8404737	Fengmu	30.2471	108.4834	0	PPLA4	9
6310897	Yanshan	30.5543	108.3091	0	PPLA4	9
12493296	Puzi	30.5712	108.8175	0	PPLA4	8
8404734	Hezui	30.5120	108.3985	0	PPLA4	6
8403869	Lishu	30.6644	108.7476	0	PPLA4	6
1795316	Shijia	30.2865	108.3252	0	PPLA4	6
12493293	Cizhu	30.6603	108.5051	0	PPLA4	5
8404736	Wangjia	30.3460	108.3121	0	PPLA4	5
8403870	Dibao	30.6582	108.8954	0	PPLA4	5
6310896	Xikou	30.6102	108.3392	0	PPLA4	5
